id,type,person_id,label,display_name,orcid
person:A5026989187,person,A5026989187,Ari P. Seitsonen,Ari P. Seitsonen,https://orcid.org/0000-0003-4331-0650
person:A5048877321,person,A5048877321,Arianna Maever L. Amit,Arianna Maever L. Amit,https://orcid.org/0000-0003-4571-400X
person:A5009563598,person,A5009563598,Arianna W. Rosenbluth,Arianna W. Rosenbluth,
person:A5103172054,person,A5103172054,Arie Baak,Arie Baak,https://orcid.org/0000-0003-2829-6715
person:A5052983963,person,A5052983963,Arie Perry,Arie Perry,https://orcid.org/0000-0002-8300-7261
person:W3003257820-person-42,person,W3003257820-person-42,Ariel Rokem,Ariel Rokem,
person:A5019075743,person,A5019075743,Arjun Appadurai,Arjun Appadurai,https://orcid.org/0000-0003-0929-7157
person:A5050723566,person,A5050723566,Armand Keating,Armand Keating,https://orcid.org/0000-0002-7676-6059
person:A5083504756,person,A5083504756,Arnaud Delorme,Arnaud Delorme,https://orcid.org/0000-0002-0799-3557
person:A5085983122,person,A5085983122,Arndt von Haeseler,Arndt von Haeseler,https://orcid.org/0000-0002-3366-4458
person:A5073261976,person,A5073261976,Arron Shiffer,Arron Shiffer,
person:A5079042094,person,A5079042094,Arthur A. Gomez,Arthur A. Gomez,
person:A5011959718,person,A5011959718,Arthur Asuncion,Arthur Asuncion,
person:A5009305837,person,A5009305837,Arthur Guez,Arthur Guez,
