id,type,source,target,publication_id,person_id,author_position,is_corresponding,sort_order
authored_by:publication:W2917837889->person:A5051830072,authored_by,publication:W2917837889,person:A5051830072,W2917837889,A5051830072,middle,0,3
authored_by:publication:W2917837889->person:A5003542814,authored_by,publication:W2917837889,person:A5003542814,W2917837889,A5003542814,middle,0,4
authored_by:publication:W2917837889->person:A5009198168,authored_by,publication:W2917837889,person:A5009198168,W2917837889,A5009198168,last,0,5
authored_by:publication:W2106787323->person:A5009198168,authored_by,publication:W2106787323,person:A5009198168,W2106787323,A5009198168,first,1,0
authored_by:publication:W2106787323->person:A5064215217,authored_by,publication:W2106787323,person:A5064215217,W2106787323,A5064215217,middle,0,1
authored_by:publication:W2106787323->person:A5051830072,authored_by,publication:W2106787323,person:A5051830072,W2106787323,A5051830072,middle,0,2
authored_by:publication:W2106787323->person:A5101396776,authored_by,publication:W2106787323,person:A5101396776,W2106787323,A5101396776,middle,0,3
authored_by:publication:W2106787323->person:A5111768129,authored_by,publication:W2106787323,person:A5111768129,W2106787323,A5111768129,last,0,4
authored_by:publication:W2020830322->person:A5060764581,authored_by,publication:W2020830322,person:A5060764581,W2020830322,A5060764581,first,1,0
authored_by:publication:W2020830322->person:A5064215217,authored_by,publication:W2020830322,person:A5064215217,W2020830322,A5064215217,middle,0,1
authored_by:publication:W2020830322->person:A5051830072,authored_by,publication:W2020830322,person:A5051830072,W2020830322,A5051830072,middle,0,2
authored_by:publication:W2020830322->person:A5007892044,authored_by,publication:W2020830322,person:A5007892044,W2020830322,A5007892044,last,0,3
authored_by:publication:W4300009529->person:W4300009529-person-0,authored_by,publication:W4300009529,person:W4300009529-person-0,W4300009529,W4300009529-person-0,first,1,0
authored_by:publication:W2296319761->person:A5011176205,authored_by,publication:W2296319761,person:A5011176205,W2296319761,A5011176205,first,1,0
authored_by:publication:W2296319761->person:A5017990990,authored_by,publication:W2296319761,person:A5017990990,W2296319761,A5017990990,last,0,1
authored_by:publication:W2033819227->person:A5020216442,authored_by,publication:W2033819227,person:A5020216442,W2033819227,A5020216442,first,1,0
